	paper_id	title	abstract	body_text
10	304a6f893c12b837b18908ead759245d221b2087		Objective: To compare	The power of the present study in a limited number of septic shock patients was clearly insufficient to evaluate possible impact of the ω-3 vs. the ω-6 lipid infusions on clinical course of disease, including development of organ failure and death. However, the two alternative regimens for lipid-based parenteral nutrition exerted differential influence on key variables of inflammatory mediator generation and neutrophil function, both intimately involved in pathogenetic sequelae of sepsis. Under ω-6 lipid infusion both the predominance of high plasma free AA levels and impairment of neutrophil functions persisted or became even more prominent. In contrast, the lipid mediator precursor profile in the plasma was rapidly shifted towards predominance of ω-3 fatty acids EPA and DHA in patients receiving a fish oil based lipid emulsion. Concomitantly, partial restoration of ex vivo analyzed neutrophil functions was noted, significantly different from the ω-6 infusion group. Lipid emulsions enriched in ω-3 instead of ω-6 fatty acids may thus offer the possibility to combine parenteral nutrition with differential impact on inflammatory variables and neutrophil function in septic patients.|
11	5e0c586f047ff909c8ed3fe171c8975a90608d08	Neutralizing antibodies against porcine epidemic diarrhea virus block virus attachment and internalization	Background: Porcine epidemic diarrhea virus (PEDV) is emerging as a pathogenic coronavirus that causes a huge economic burden to the swine industry. Interaction of the viral spike (S) surface glycoprotein with the host cell receptor is recognized as the first step of infection and is the main determinant of virus tropism. The mechanisms by which neutralizing antibodies inhibit PEDV have not been defined. Isolating PEDV neutralizing antibodies are crucial to identifying the receptor-binding domains of the viral spike and elucidating the mechanism of protection against PEDV infection. Methods: B cell hybridoma technique was used to generate hybridoma cells that secrete specific antibodies. E.coli prokaryotic expression system and Bac-to-Bac expression system were used to identify the target protein of each monoclonal antibody. qPCR was performed to analyze PEDV binding to Vero E6 cells with neutralizing antibody. Results: We identified 10 monoclonal antibodies using hybridoma technology. Remarkably, 4 mAbs (designed 2G8, 2B11, 3D9, 1E3) neutralized virus infection potently, of which 2B11 and 1E3 targeted the conformational epitope of the PEDV S protein. qPCR results showed that both 2B11 and 2G8 blocked virus entry into Vero cells. Conclusion: The data suggested that PEDV neutralizing antibody inhibited virus infection by binding to infectious virions, which could work as a tool to find the receptor-binding domains.	Then anti-SP mAb 2B11 and 2G8 with the strongest neutralizing capacity were selected to explore the mechanism of nAbs. As previously reported, PEDV For the 37°C attachment, PEDV was first incubated with antibody for 1 h and then added to cells for 1 h infection incubation at 37°C. For the 4°C attachment, PEDV was initially incubated with Vero cells for 1 h at 4°C, and antibody was then added to the PEDV-cell culture and the temperature was increased to 37°C for 1 h infection incubation. The cell-associated PEDV was quantified by viral RNA RT-qPCR. 9G11 was set as an isotype control. b Comparison of epitopes between 2G8 and 2B11 nAbs using a competition ELISA test. 2G8 was used as a competitor, and 9G11 was used as a negative control. The results are presented as the mean ± SEM (n = 3). Differences were considered significant if the P value was < 0.05. P values are indicated as follows: *P < 0.05; ***P < 0.001 enters Vero cells via an initial endocytic uptake, and subsequently, the virus fuses with the PEDV S and host endosomal membrane [40] . The virus only attaches cell, but doesn't have fusion with cell membrane at 4°C. We found 2G8 and anti-SP mAb 2B11 efficiently bound PEDV, and then inhibited virus entry into cell at 37°C. But if the experiment was designed into two-time points, virus infected the cells at 4°C for 1 h, and then the mAb was added at 37°C for 1 h, the results showed that virus could invade and replicate in cells, and the copies of virus in infected-cells had no difference regardless of the presence of 2G8, anti-SP mAb 2B11 and PEDV-negative serum. However, positive serum didn't prevent the proliferation of intracellular viruses. This may be due to the lack of mAb in positive serum which neutralized the virus inside the cell or the interaction of mAbs makes some mAbs lose the ability of neutralization intracellular or there may exist other possible mechanisms. These results demonstrated if the viral have attached to the target cells, neutralization of 2G8 and anti-SP mAb 2B11 doesn't work. It seems that PEDV infected cells apparently lower at 4°C than 37°C regardless of any antibodies, indicating that PEDV is more efficiently taken up by cells through endocytosis at 37°C than at 4°C. This is consistent with that the virus uptake more efficiently through endocytosis at 37°C than at 4°C, which was observed in Herpes simplex virus 1 infection [41] . The epitope targeted by 2G8 is completely distinct from anti-SP mAb 2B11, there may be at least two mechanisms involved neutralization effects by directly inhibiting binding to an epitope.|
12	20d2fee18b63c9f63d9fe0e5b6685ad2ae186db8	Taxon-specific aerosolization of bacteria and viruses in an experimental ocean-atmosphere mesocosm		Data analysis. AF was calculated as the ratio of the fraction of species in the aerosol compartment to either the bulk water or SSML compartment using both read-based phylogenies from Kraken and draft genome data. Surface enrichment factors were similarly calculated using species fractions ratios of SSML to bulk seawater. To make comparisons of individual species more manageable, the free bacteria data set was further trimmed. Species were sorted by AF and 20 species were selected at random for the following values: AF > 5, AF 1.5-5, AF 1 to 1.5, AF ≈ 1, AF 0.667-1, AF 0.20-0.667, AF < 0.2. To ensure all abundant species were included, this was amended with the top 50 abundant species resulting in 197 bacteria species. This set was further utilized for coverage analysis. Phylogenetic trees were constructed in PhyloT (http://phylot.biobyte.de/) and visualized in iTOL (http://itol.embl.de/) 73 . Species were annotated with corresponding AF data to compare phylogeny and aerosolization patterns.|
13	1579fbff7af9b156c6f49fee0526e48f852ea460	A Recombinant Newcastle Disease Virus (NDV) Expressing S Protein of Infectious Bronchitis Virus (IBV) Protects Chickens against IBV and NDV OPEN	Currently, live-attenuated IBV vaccines are used to control the disease. However, safety, attenuation and immunization outcomes of current vaccines are not guaranteed. Several studies indicate that attenuated IBV vaccine strains contribute to the emergence of variant viruses in the field due to mutations and recombination. Therefore, there is a need to develop a stable and safe IBV vaccine that will not create variant viruses. In this study, we generated recombinant Newcastle disease viruses (rNDVs) expressing the S1, S2 and S proteins of IBV using reverse genetics technology. Our results showed that the rNDV expressing the S protein of IBV provided better protection than the rNDV expressing S1 or S2 protein of IBV, indicating that the S protein is the best protective antigen of IBV. Immunization of 4-week-old SPF chickens with the rNDV expressing S protein elicited IBV-specific neutralizing antibodies and provided complete protection against virulent IBV and virulent NDV challenges. These results suggest that the rNDV expressing the S protein of IBV is a safe and effective bivalent vaccine candidate for both IBV and NDV.	Statistical analysis. Data were analyzed among groups by One-Way-ANOVA test. The student t-test was used to compare two groups. To avoid bias, all animal experiments were designed as blinded studies.|
14	2dce2d54917ec9b41e1ce75fee1c189ecc108ae8	O R I G I NA L A RT I C L E MULTIPLE ORIGINS OF SEX CHROMOSOME FUSIONS CORRELATED WITH CHIASMA LOCALIZATION IN HABRONATTUS JUMPING SPIDERS (ARANEAE: SALTICIDAE)	namely their proximal chiasma localization acting to upset meiotic segregation in males with fusions. Of the 75 taxa of Habronattus and outgroups studied, 47 have X 1 X 2 0 sex chromosomes in males, 10 have X 1 X 2 Y, 15 have X 1 X 2 X 3 Y, 2 have X0, and one has both X 1 X 2 0 and X 1 X 2 X 3 Y. Chromosome numbers and behavior suggest neo-Ys formed by an autosome-X fusion to make X 1 X 2 Y, with a second fusion to an autosome to make X 1 X 2 X 3 Y. Phylogeny shows at least 8-15 gains (or possibly some losses) of neo-Y (i.e., X-autosome fusions), a remarkable number for such a small clade. In contrast to the many X-autosome fusions, at most one autosome-autosome fusion is indicated. Origins of neo-Y are correlated significantly with distal localization of chiasmata, supporting White's hypothesis that evolution of neo-Y systems is facilitated by looser pairing (distal chiasmata) at meiosis. However, an alternative (or contributing) explanation for the correlation is that X-autosome fusions were selected to permit isolation of male-favored alleles to the neo-Y chromosome, aided by distal chiasmata limiting recombination. This intralocus sexual conflict hypothesis could explain both the many X-autosome fusions, and the stunning complexity of male Habronattus courtship displays.	Additional Supporting Information may be found in the online version of this article at the publisher's website: Figure S1 . Numbers of taxa with various median chiasma locations (from: Habronattus spp., Maddison and Leduc-Robert 2013) . Figure S2 . Chiasma localization by species group and sex chromosome type. Figure S3 . Adult males of various Habronattus species, indicating chromosome complement (number of autosomes and sex chromosomes). Table S1 . Karyotypes of Habronattus and Pellenes specimens examined. Table S2 . Chiasma localization of Habronattus species.|
15	464f7d3a460eb51dbc25bd12639b22079a73f85a	Viral lncRNA: A regulatory molecule for controlling virus life cycle	Long non-coding RNAs (lncRNAs) are found not only in mammals but also in other organisms, including viruses. Recent findings suggest that lncRNAs play various regulatory roles in multiple major biological and pathological processes. During viral life cycles, lncRNAs are involved in a series of steps, including enhancing viral gene expression, promoting viral replication and genome packaging, boosting virion release, maintaining viral latency and assisting viral transformation; additionally, lncRNAs antagonize host antiviral innate immune responses. In contrast to proteins that function in viral infection, lncRNAs are expected to be novel targets for the modulation of all types of biochemical processes due to their broad characteristics and profound influence. This review highlights our current understanding of the regulatory roles of lncRNAs during viral infection processes with an emphasis on the potential usefulness of lncRNAs as a target for viral intervention strategies, which could have therapeutic implications for the application of a clinical approach for the treatment of viral diseases.	In this review, we have thoroughly described the biological roles of lncRNAs in enhancing viral gene expression, promoting viral replication and genome packaging, boosting virion release, maintaining viral latency, assisting viral transformation, and antagonizing the host antiviral innate immune response. More importantly, in view of their regulatory roles, lncRNAs have been regarded as targets to block the facilitation of viral infection. Since the viral life cycle and the mechanism of the host antiviral response are clearer, targeting lncRNAs for prophylactic or therapeutic ends is an attractive alternative. With further advances in our understanding of the molecular details that govern the viral life cycle and immune response, this review hopefully revealed information that will help expand viral intervention strategies.|
16	c436139975d97ef929b5d8452595de40bda0c11c	Phone: (1) 301-451-9881, jbeigel@niaid.nih.gov	on behalf of the IRC002 Study Team Summary Background-Influenza causes significant morbidity and mortality despite currently available treatments. Anecdotal reports suggest plasma with high antibody titers towards influenza may be of benefit in the treatment of severe influenza.	Nasal swab (log 10 copies/mL) Median (Q1, Q3), N = 81 3. Table 4 Serious Adverse Events that occurred in more than one participant by treatment actually received Adverse events that occurred between day 0 and 7 in more than one participant |
17	4c383199ec346956aa22069beb72405006a709e1	Title Page •Article category -Brief report •Article title-Progression of CXR features on a COVID-19 survivor	 Mortality from COVID-19 primarily results from respiratory failure  CXR changes in COVID-19 are peripheral, basal, and multilobar  CXR changes in COVID-19 range from subtle, mild, moderate, to severe  Progression of CXR changes over 6 weeks has not been presented in published case reports J o u r n a l P r e -p r o o f 2 ABSTRACT COVID-19 causes consolidations or ground glass opacities that are predominantly peripheral, basal, and bilateral on chest x-ray (CXR). There are no published case reports that present over ten serial CXRs on the same patient. We present a case report of a 68-year-old patient with confirmed COVID-19 and a prolonged course of admission, receiving nasal and humidified oxygen, non-invasive and then mechanical ventilation. She self-extubated, but remained stable on nasal oxygen only and was transferred for rehabilitation. We present 12 of her serial CXRs over six weeks, showing progression from subtle changes to overt widespread pneumonitis to slow resolution. She is also an example of a rare case of COVID-19 pneumonitis causing persistent hypoxia for over six weeks.	"The authors below confirm their contribution in the manuscript titled ""Progression of CXR features on a COVID-19 survivor"" and submitted to ID Cases journal Dr Loay H Abdelnour, MSc, has designed the manuscript, obtained patient's consent, collected data, and wrote the manuscript |"
18	44290ff75bad8ffaf5d3028420739ce7b08dc2a9	Inhibition of enterovirus 71 replication and the viral 3D polymerase by aurintricarboxylic acid	EV71) causes serious diseases in humans. The aim of this study was to examine the effects of aurintricarboxylic acid (ATA) on EV71 replication and to explore the underlying mechanism.	None to declare.|
19	b87b790c96c75faa22a085cb560f7b3d8e018b24	Features of Host Cells: Cellular and Molecular Biology Review		Section 3.2 The Plasma Membrane, Exocytosis, and Endocytosis l The plasma membrane is composed of phospholipids, which have a polar head and nonpolar tails. As such, they are amphipathic: the phosphate head is hydrophilic and the fatty acid tails are hydrophobic.|
20	3c395c76b3d97ab269aed5e6c02d0f0184df7f9f	The effects of fever on hormone ghrelins, immunoglobulins, and heat shock protein 70 expression after swine flu vaccinations	For analyzing the changes in immunoglobulins, HSP70, ghrelin levels in blood samples were collected from volunteers vaccinated against swine flu before the vaccinations and on days 3, and 15, and 1 and 2 months after the vaccination in the presence or absence of fever associated with the it. The study included 11 subjects having developed a fever, and 13 subjects not having a fever, and 20 control subjects. Immunoglobulins were measured by nephelometry, and HSP70 and ghrelins by appropriate ELISA tests. The level of ghrelin was reduced, while the level of HSP70 was significantly increased in subjects who developed fevers. When temperatures were normalized, both levels were found similar to the control group. These results indicate that the increase in serum immunoglobulins levels associated with vaccinations, along with, elevations in HSP70 and reduced ghrelin levels associated with fever, may be the important parameters in the clinical evaluation and follow-up of treatments with vaccines.	In conclusion, the increase in serum levels of IgM, IgA, IgG seen in patients after vaccination relative to their levels before the swine flu vaccinations and those in the controls indicated that the vaccination stimulates the humoral immune system. Serum HSP70 significantly increased in the patients who developed fever after being vaccinated. Serum ghrelin levels fell significantly until the first month post-vaccination sample. The decrease in serum ghrelin levels was more marked in the patients who developed fever, with the levels falling back after the fever disappeared than those seen in patients who did not develop a fever. The results indicate that the increase in serum levels IgM, IgA, and IgG levels, elevation of HSP70 associated with fever, and reduced ghrelin levels can be important parameters in the clinical evaluation and follow-up of vaccinations. These findings could also be used in clinical or preclinical trials to develop vaccines that are less likely to induce fever, and also provide some information as to whether the rather intensive blood-drawing schedule would seem to rule out any use in ''routine'' practice of vaccination. Fig. 5 Changes of immunglobulin G concentrations in controls and subjects who developed fever and did not develop fever after vaccination, pre-vaccination, and at days 3 and 15, and at 1 and 2 months. a P \ 0.05 compared to subjects with fever versus without fever and control subjects Endocrine (2012) 42:352-358 357|
21	5ad06be75e9c306aa10fea704f93d4ba90623a15			27. Le Doussal J, Piqueras B, Dogan I, Debre P, Gorochov G: Phage •• display of peptide/major histocompatibility complex. J Immunol Methods 2000, 241:147-158. The authors report for the first time the expression of single-chain peptide-MHC polypeptides in the periplasm of E. coli and their display on the minor phage coat protein pIII. It was determined that about 1% of the produced phage displayed at least one peptide-MHC complex. Also demonstrated was specific binding of the phage-displayed peptide-MHC complex to immobilized recombinant T cell receptors (TCRs) and the TCRs of T-cell hybridomas. Because of the low affinity of the interaction between TCRs and peptide-MHC complexes, and their rapid dissociation, achieving a higher copy number of phage-displayed peptide-MHC complex will be critical for the successful screening of libraries on immobilized TCR.|
22	032207023bce7ab4550c38283ac7e2964d3c6561	Animal virus schemes for translation dominance	Viruses have adapted a broad range of unique mechanisms to modulate the cellular translational machinery to ensure viral translation at the expense of cellular protein synthesis. Many of these promote virus-specific translation by use of molecular tags on viral mRNA such as internal ribosome entry sites (IRES) and genome-linked viral proteins (VPg) that bind translation machinery components in unusual ways and promote RNA circularization. This review describes recent advances in understanding some of the mechanisms in which animal virus mRNAs gain an advantage over cellular transcripts, including new structural and biochemical insights into IRES function and novel proteins that function as alternate met-tRNA i met carriers in translation initiation. Comparisons between animal and plant virus mechanisms that promote translation of viral mRNAs are discussed.	Some viruses may use long range RNA interactions to modulate translation Schematic depiction of translation initiation and the eIF2 nucleotide exchange cycle. Eukaryotic initiation factor 4F, which consists of the cap binding protein (eIF4E), a scaffolding protein (eIF4G) and an RNA helicase (eIF4A), recognizes the m 7 G cap structure. The mRNA can circularize in accordance with the closed-loop model via interaction between PABP at the 3′ terminus and eIF4G complexed with the 5′ cap. Next, the 43S preinitiation complex, composed of the 40S small ribosomal subunit and initiation factors eIF1, eIF1A, heterotrimeric eIF2(α,β,γ), eIF5 and multisubunit eIF3, can bind the mRNA via interaction between eIF3 and eIF4G to form the 48S complex. eIF2 delivers the initiator methionyl tRNA as a ternary complex, comprised of eIF2•GTP•met-tRNA i met . The 40S ribosomal subunit then scans to locate the AUG codon where the 60S joins, some factors are ejected including eIF2, and the 80S ribosome enters the elongation phase of protein synthesis (reviewed in [109] ). eIF2 activity relies on GTP hydrolysis and the guanine nucleotide exchange factor eIF2B must recycle GTP•eIF2 before it can be used in subsequent rounds of translation initiation (depicted by the eIF2:GTP exchange cycle). Several kinases have been identified that act on eIF2 to inhibit met-tRNA i met delivery by phosphorylating eIF2α, which include: PKR, a double-stranded RNA-dependent protein kinase typically activated during infection by RNA viruses in animals, PERK, which is activated in response to ER stress, HRI, a heme-sensing molecule, and GCN2, which senses nutrient availability. Initiation on virus internal ribosome entry sites (IRES). Virus IRESs use various noncanonical interactions with initiation factors and/or the 40S ribosome subunit. eIF4E is not involved in the binding of viral IRESs shown. Type 1 and 2 IRESs bind the central heat domain of eIF4GI in an analogous position and orientation on stem loop structures adjacent to conserved oligopyrimidine-spacer-AUG motifs (Yn-Xm-AUG) at the 3′ border of the IRES elements. The AUG codon basepairs with the initiator tRNA delivered by eIF2. eIF4GI binding is stimulated by eIF4A and modulated by PTB, which binds the same stemloop structure as eIF4GI in Type 1 IRESs and binds a more diffuse footprint of RNA domains in Type 2 IRESs [31,33]. PV Type 1 IRES requires SRp20 for PCBP2 ITAF function and may play a role in bridging the IRES to the 43S complex [26] . Type 3 IRESs and the unclassified HIV2 IRES utilize interactions between eIF3 and 40S. The HCV pseudoknot (shaded in grey) positions the initiation codon (green box) in the mRNA binding cleft of the 40S subunit [36] and the apical stem loops of domain III interact directly with eIF3 [110] [111] [112] . HIV2 IRES contains 4 domains conserved among primate lentiviruses (shaded, P3, P4, P2-P5). HIV2 IRES can bind 48S preiniation complexes at three AUGs (green boxes) [16] ; however, eIF1 is not found in these complexes [37] . eIF5B and other eIF2-independent mechanisms for translation initiation. A. The crystal structure of archaeal IF2/eIF5B is organized into 4 highly conserved domains (labeled 1-IV). B. Mammalian eIF5B contains the C-terminal half that is homologous to archaeal IF2 and a N-terminal regulatory domain whose structure is unknown that is removed by PV 3Cpro cleavage. C. Infection and stress activate eIF2α kinases that reduce concentrations of eIF2•GTP•met-tRNA i met ternary complex, inhibiting translation from viral IRES elements. PV and HCV may overcome this restriction by recruiting alternate proteins to help deliver met-tRNA i met in GTP-dependent or GTP-independent mechanisms.|
